case_name	      psnrs	     ssims	     lpipss	    l1losses
2DGS_LEGO	 18.59062	 0.81788	 0.17125	 0.87676
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 32.09239	 0.94552	 0.02491	 0.80764
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 32.09239	 0.94552	 0.02491	 0.80764
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 34.11878	 0.89956	 0.24895	 0.16057
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 34.00440	 0.89808	 0.33877	 0.16058
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 35.36807	 0.95884	 0.07345	 0.06070
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 28.29585	 0.99031	 0.01085	 0.71485
case_name	      psnrs	     ssims	     lpipss	    l1losses
DTU_bird	 -19.06148	 0.97555	 0.01796	 59.03213
case_name	      psnrs	     ssims	     lpipss	    l1losses
bakedsdf_nvs	 -19.44630	 0.97035	 0.01832	 59.17107
